Peak CCU,Price (USD),Review Ratio,Web Exposure,,Price (USD),Peak CCU,,,Review Ratio,Peak CCU,,,Web Exposure,Peak CCU,,,,Peak CCU
,,,,,,,,,,,,,,,,,,
140,34.99,5.788321167883212,14.582375478927203,,34.99,140,,,5.788321168,140,,,14.58237548,140,,,,140
,,,,,,,,,,,,,,,,,,
150,0,1.6784577290413867,1.260536398467433,,0,150,,,1.678457729,150,,,1.260536398,150,,,,150
,,,,,,,,,,,,,,,,,,
383,22.99,2.6189591078066914,2.5642857142857145,,22.99,383,,,2.618959108,383,,,2.564285714,383,,,,383
,,,,,,,,,,,,,,,,,,
107,24.99,13.807909604519773,0.11428571428571428,,24.99,107,,,13.8079096,107,,,0.114285714,107,,,,107
,,,,,,,,,,,,,,,,,,
102,24.99,14.517441860465116,14.932432432432432,,24.99,102,,,14.51744186,102,,,14.93243243,102,,,,102
,,,,,,,,,,,,,,,,,,
1748,49.99,7.414642762518767,2.6130268199233715,,49.99,1748,,,7.414642763,1748,,,2.61302682,1748,,,,1748
,,,,,,,,,,,,,,,,,,
172,2.99,28.512755102040817,0.39846743295019155,,2.99,172,,,28.5127551,172,,,0.398467433,172,,,,172
,,,,,,,,,,,,,,,,,,
992,0,4.371404158359442,3.707070707070707,,0,992,,,4.371404158,992,,,3.707070707,992,,,,992
,,,,,,,,,,,,,,,,,,
1263,19.99,9.963096309630963,21.55426356589147,,19.99,1263,,,9.96309631,1263,,,21.55426357,1263,,,,1263
,,,,,,,,,,,,,,,,,,
809,39.99,2.485203574975174,0.8620689655172413,,39.99,809,,,2.485203575,809,,,0.862068966,809,,,,809
,,,,,,,,,,,,,,,,,,
406,0,0.8211143695014663,0.5357142857142857,,0,406,,,0.82111437,406,,,0.535714286,406,,,,406
,,,,,,,,,,,,,,,,,,
552,39.99,2.7032919434016747,3.8,,39.99,552,,,2.703291943,552,,,3.80,552,,,,552
,,,,,,,,,,,,,,,,,,
530,9.99,10.914539400665927,15.386973180076629,,9.99,530,,,10.9145394,530,,,15.38697318,530,,,,530
,,,,,,,,,,,,,,,,,,
148,3.99,4.076923076923077,0,,3.99,148,,,4.076923077,148,,,0.00,148,,,,148
,,,,,,,,,,,,,,,,,,
246,4.99,9.555256064690028,1,,4.99,246,,,9.555256065,246,,,1.00,246,,,,246
,,,,,,,,,,,,,,,,,,
241,59.99,0.9541666666666667,1.32,,59.99,241,,,0.954166667,241,,,1.32,241,,,,241
,,,,,,,,,,,,,,,,,,
215,14.99,24.846153846153847,1.064,,14.99,215,,,24.84615385,215,,,1.06,215,,,,215
,,,,,,,,,,,,,,,,,,
266,49.99,3.01375,4.176245210727969,,49.99,266,,,3.01375,266,,,4.176245211,266,,,,266
,,,,,,,,,,,,,,,,,,
104,21.99,4.052159739201304,0.8138528138528138,,21.99,104,,,4.052159739,104,,,0.813852814,104,,,,104
,,,,,,,,,,,,,,,,,,
